name,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,id,start_date_local,achievement_count,kudos_count,comment_count,photo_count,average_speed,max_speed,average_heartrate,max_heartrate,elev_high,elev_low,pr_count,data,duracao_atividade,ano,mes
Treinamento com peso vespertino,0.0,5199,5199,0.0,Treino com peso,11294981337,2024-04-29 17:14:55+00:00,0,3,0,0,0.0,0.0,111.1,158.0,0.0,0.0,0,29-04-2024,5199,2024,4
Natação matinal,2.025,3596,3596,0.0,Natação,11275979065,2024-04-27 08:47:40+00:00,0,5,0,0,2.0267999999999997,0.0,0.0,0.0,0.0,0.0,0,27-04-2024,3596,2024,4
Pedalada ao entardecer,0.0,674,674,0.0,Bicicleta,11271216757,2024-04-26 18:34:13+00:00,0,2,0,0,0.0,0.0,98.3,113.0,0.0,0.0,0,26-04-2024,674,2024,4
Recuperando aos poucos 💪🏽💪🏽 Caminhada tranquila para matar a saudade do corre 🤩,1.42,1227,1227,0.0,Caminhada,11271216787,2024-04-26 18:06:31+00:00,0,2,0,0,4.1652000000000005,0.0,118.7,132.0,0.0,0.0,0,26-04-2024,1227,2024,4
Treino vespertino,0.0,2838,2838,0.0,Treino livre,11271216792,2024-04-26 17:18:48+00:00,0,0,0,0,0.0,0.0,76.4,111.0,0.0,0.0,0,26-04-2024,2838,2024,4
Treinamento com peso vespertino,0.0,4501,4501,0.0,Treino com peso,11266820283,2024-04-25 17:14:25+00:00,0,0,0,0,0.0,0.0,99.6,149.0,0.0,0.0,0,25-04-2024,4501,2024,4
Caminhada vespertina,7.0904,5234,5424,46.1,Caminhada,11257775427,2024-04-24 17:44:17+00:00,0,3,0,0,4.878,31.669200000000004,112.9,139.0,814.4,787.4,0,24-04-2024,5234,2024,4
Treinamento com peso vespertino,0.0,6333,6333,0.0,Treino com peso,11257775238,2024-04-23 17:14:32+00:00,0,2,0,0,0.0,0.0,101.1,137.0,0.0,0.0,0,23-04-2024,6333,2024,4
Treinamento com peso vespertino,0.0,5176,5176,0.0,Treino com peso,11242449960,2024-04-22 17:09:41+00:00,0,0,0,0,0.0,0.0,105.6,154.0,0.0,0.0,0,22-04-2024,5176,2024,4
Caminhada matinal,6.991,6296,7058,174.1,Caminhada,11237659806,2024-04-21 06:19:04+00:00,0,2,0,0,3.9960000000000004,9.5508,112.8,135.0,914.7,785.1,0,21-04-2024,6296,2024,4
Treinamento com peso matinal,0.0,6351,6351,0.0,Treino com peso,11237658210,2024-04-20 08:57:41+00:00,0,0,0,0,0.0,0.0,109.8,155.0,0.0,0.0,0,20-04-2024,6351,2024,4
Pedalada ao entardecer,0.0,645,645,0.0,Bicicleta,11237658103,2024-04-19 18:45:06+00:00,0,1,0,0,0.0,0.0,125.4,142.0,0.0,0.0,0,19-04-2024,645,2024,4
Simulador de escada ao entardecer,0.0,1900,1900,0.0,Simulador de escadas,11237658109,2024-04-19 18:10:24+00:00,0,1,0,0,0.0,0.0,154.1,179.0,0.0,0.0,0,19-04-2024,1900,2024,4
Treinamento com peso vespertino,0.0,3399,3399,0.0,Treino com peso,11237658151,2024-04-19 17:12:27+00:00,0,1,0,0,0.0,0.0,81.6,107.0,0.0,0.0,0,19-04-2024,3399,2024,4
